time s
0.00000 0.00000
0.00501 0.00048
0.01001 0.00100
0.01502 0.00156
0.02002 0.00214
0.02503 0.00277
0.03003 0.00342
0.03504 0.00411
0.04004 0.00484
0.04505 0.00560
0.05005 0.00639
0.05506 0.00722
0.06006 0.00808
0.06507 0.00898
0.07007 0.00991
0.07508 0.01087
0.08008 0.01186
0.08509 0.01288
0.09009 0.01393
0.09510 0.01500
0.10010 0.01611
0.10511 0.01724
0.11011 0.01840
0.11512 0.01958
0.12012 0.02079
0.12513 0.02201
0.13013 0.02325
0.13514 0.02452
0.14014 0.02579
0.14515 0.02709
0.15015 0.02839
0.15516 0.02970
0.16016 0.03103
0.16517 0.03236
0.17017 0.03369
0.17518 0.03502
0.18018 0.03636
0.18519 0.03769
0.19019 0.03902
0.19520 0.04034
0.20020 0.04164
0.20521 0.04294
0.21021 0.04422
0.21522 0.04548
0.22022 0.04671
0.22523 0.04793
0.23023 0.04912
0.23524 0.05027
0.24024 0.05140
0.24525 0.05248
0.25025 0.05353
0.25526 0.05454
0.26026 0.05550
0.26527 0.05642
0.27027 0.05728
0.27528 0.05809
0.28028 0.05884
0.28529 0.05953
0.29029 0.06016
0.29530 0.06072
0.30030 0.06121
0.30531 0.06164
0.31031 0.06198
0.31532 0.06225
0.32032 0.06244
0.32533 0.06254
0.33033 0.06256
0.33534 0.06249
0.34034 0.06233
0.34535 0.06207
0.35035 0.06172
0.35536 0.06127
0.36036 0.06072
0.36537 0.06007
0.37037 0.05932
0.37538 0.05845
0.38038 0.05748
0.38539 0.05640
0.39039 0.05521
0.39540 0.05390
0.40040 0.05248
0.40541 0.05095
0.41041 0.04930
0.41542 0.04753
0.42042 0.04564
0.42543 0.04364
0.43043 0.04152
0.43544 0.03928
0.44044 0.03692
0.44545 0.03444
0.45045 0.03185
0.45546 0.02914
0.46046 0.02631
0.46547 0.02336
0.47047 0.02030
0.47548 0.01713
0.48048 0.01385
0.48549 0.01045
0.49049 0.00695
0.49550 0.00334
0.50050 -0.00038
0.50551 -0.00419
0.51051 -0.00811
0.51552 -0.01212
0.52052 -0.01622
0.52553 -0.02041
0.53053 -0.02469
0.53554 -0.02905
0.54054 -0.03349
0.54555 -0.03800
0.55055 -0.04259
0.55556 -0.04724
0.56056 -0.05195
0.56557 -0.05671
0.57057 -0.06153
0.57558 -0.06640
0.58058 -0.07130
0.58559 -0.07624
0.59059 -0.08121
0.59560 -0.08620
0.60060 -0.09121
0.60561 -0.09624
0.61061 -0.10126
0.61562 -0.10629
0.62062 -0.11131
0.62563 -0.11631
0.63063 -0.12129
0.63564 -0.12625
0.64064 -0.13117
0.64565 -0.13604
0.65065 -0.14087
0.65566 -0.14564
0.66066 -0.15035
0.66567 -0.15498
0.67067 -0.15954
0.67568 -0.16401
0.68068 -0.16839
0.68569 -0.17266
0.69069 -0.17683
0.69570 -0.18088
0.70070 -0.18480
0.70571 -0.18860
0.71071 -0.19225
0.71572 -0.19576
0.72072 -0.19912
0.72573 -0.20231
0.73073 -0.20534
