bin unwindowed windowed
0.00000 0.00000 0.00000
0.06522 0.00069 0.00000
0.13043 0.00139 0.00001
0.19565 0.00215 0.00001
0.26087 0.00298 0.00002
0.32609 0.00393 0.00003
0.39130 0.00505 0.00005
0.45652 0.00640 0.00008
0.52174 0.00811 0.00014
0.58696 0.01035 0.00023
0.65217 0.01344 0.00040
0.71739 0.01800 0.00076
0.78261 0.02536 0.00157
0.84783 0.03919 0.00262
0.91304 0.07413 0.13107
0.97826 0.32054 0.44818
1.04348 0.17347 0.35790
1.10870 0.07527 0.05201
1.17391 0.05120 0.00151
1.23913 0.04070 0.00035
1.30435 0.03516 0.00070
1.36957 0.03206 0.00077
1.43478 0.03046 0.00079
1.50000 0.02996 0.00079
